track_id,app_name,seller_name,bundle_id,app_store_url,release_date,current_version_release_date,app_version,months_since_update,launched_last_12_months,stale_6mo,user_rating_count,user_rating_count_current_version,average_user_rating,primary_genre,genres,app_store_category,content_advisory_rating,minimum_ios_version,gambling_specific,matched_search_terms
1513232300,NewForm: Recovery & Wellbeing,"Phoenix Multisport, Inc.",com.q95ac3b5572c.www,https://apps.apple.com/us/app/newform-recovery-wellbeing/id1513232300?uo=4,2020-05-21,2026-09-14,11.8.0,0.2,N,N,10824,10824,4.8871,Lifestyle,Lifestyle,not-gambling,17+,17.0,N,gambling addiction recovery
1239464706,Sober Today - Day Counter,Tushar Bhagat,com.ibyteapps.sobertoday,https://apps.apple.com/us/app/sober-today-day-counter/id1239464706?uo=4,2017-05-27,2026-08-11,3.0.5,1.3,N,N,867,867,4.391,Lifestyle,Lifestyle,harm-reduction,12+,15.0,N,gambling addiction recovery
638867877,Inspirations from Hazelden,Stanton Publication Services Inc,com.bookmobile.iphone.inspirations,https://apps.apple.com/us/app/inspirations-from-hazelden/id638867877?uo=4,2013-04-26,2026-02-18,2.2.1,7.0,N,Y,2790,2790,4.88889,Health & Fitness,Health & Fitness; Books,not-gambling,17+,11.0,N,gambling addiction recovery
6761416523,ResetBet — Quit Gambling,Zintex OU,iGrow.QuitGambling,https://apps.apple.com/us/app/resetbet-quit-gambling/id6761416523?uo=4,2026-03-31,2026-09-11,1.3,0.3,Y,N,0,0,0,Health & Fitness,Health & Fitness; Lifestyle,harm-reduction,4+,15.1,Y,gambling addiction recovery
6774234773,Still: Gambling Recovery,Ayman Tajjiui,com.devstudio.still,https://apps.apple.com/us/app/still-gambling-recovery/id6774234773?uo=4,2026-07-01,2026-08-17,1.3,1.1,Y,N,0,0,0,Health & Fitness,Health & Fitness; Lifestyle,harm-reduction,17+,16.0,Y,gambling addiction recovery
6756549862,BETTR OFF: Beat Gambling,Philipp Langle,com.philipplangle.betblock,https://apps.apple.com/us/app/bettr-off-beat-gambling/id6756549862?uo=4,2026-07-08,2026-09-08,1.0.6,0.4,Y,N,5,5,4.4,Health & Fitness,Health & Fitness; Utilities,harm-reduction,17+,17.0,Y,gambling addiction recovery
1448251580,Sober SideKick: Quit Addiction,Sidekick Mobile Technologies Inc.,com.HI-Assistant.SideKick2,https://apps.apple.com/us/app/sober-sidekick-quit-addiction/id1448251580?uo=4,2019-01-27,2026-09-01,5.9.3.1,0.6,N,N,8002,8002,4.82566,Health & Fitness,Health & Fitness,not-gambling,17+,17.0,N,gambling addiction recovery
1450908550,Recovery Path for Addiction,"Recovery Record, Inc",com.recoverypath.patient,https://apps.apple.com/us/app/recovery-path-for-addiction/id1450908550?uo=4,2019-10-15,2026-08-25,1.8.1,0.9,N,N,924,924,4.89719,Medical,Medical; Health & Fitness,not-gambling,12+,15.1,N,gambling addiction recovery
332357360,Drug Addiction: Alcoholics & Narcotics Companion,Michael Quach,com.mqdp.location.drugabuse,https://apps.apple.com/us/app/drug-addiction-alcoholics-narcotics-companion/id332357360?uo=4,2009-09-30,2017-07-19,2.4.0,110.1,N,Y,17,17,3.94118,Medical,Medical; Health & Fitness,not-gambling,17+,8.0,N,gambling addiction recovery
6789215282,Outs: Quit Gambling Addiction,SETH MITCHELL CROWLEY,com.sethcrowley.outs,https://apps.apple.com/us/app/outs-quit-gambling-addiction/id6789215282?uo=4,2026-07-31,2026-08-06,1.0.1,1.5,Y,N,3,3,5,Health & Fitness,Health & Fitness; Lifestyle,harm-reduction,17+,16.0,Y,gambling addiction recovery
6787402406,Sanad - Recovery Companion,Rakeeza Electronic Marketing Company,ly.com.sanad,https://apps.apple.com/us/app/sanad-recovery-companion/id6787402406?uo=4,2026-07-20,2026-09-11,1.0.3,0.3,Y,N,0,0,0,Health & Fitness,Health & Fitness; Lifestyle,harm-reduction,12+,15.0,N,gambling addiction recovery
